Parameter;Type;Subtype;Calculated In;Description;Dependencies;Data type;Additional information
_c4preapALP6;flag;Pre-control;inc_calc_controls.php;P6 pre-approximation Aim line breakout;;;"When [APPROACH] is reached, the presence of a breakout of the AL of the AM  is checked in the section from the confirmation bar of p4 [conf_t4] (inclusive) to the bar of reaching [APPROACH] (excluding)
If a breakout is found, then
1. _c4preapALP6 = 1, otherwise
_c4preapALP6= 0

The remaining parameters are calculated by analogy"
"_c4preapALP6""";flag;Pre-control;inc_calc_controls.php;"P6"" pre-approximation Aim line breakout";;;
_c4preapALAuxP6;flag;Pre-control;inc_calc_controls.php;AuxP6 pre-approximation Aim line breakout;;;
_c4preapALAuxP6';flag;Pre-control;inc_calc_controls.php;AuxP6' pre-approximation Aim line breakout ;;;
_llc4preapALP6;calc;Pre-control;inc_calc_controls.php;Bar-adjusted Aim line break out bar relative to P6;depends on _c4preapALP6 ;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

The level of intersection of the AL by the price bar is calculated on the section from the confirmation bar for p4 [conf_t4] (inclusive) to the bar achieving [APPROACH] (excluding). If there are several intersecting bars on the section of the AL under consideration, the 1st one in time is taken.
_llc4preapALP6 - the distance in bars from the confirmation bar p.4 [conf_t4] to the AL breakout bar is divided by
the distance in bars from the AL breakout bar to the P6 node bar.
If conf_t4 and the AL breakout are on the same bar, the parameter will be equal to 0.

The remaining parameters are calculated by analogy"
"_llc4preapALP6""";calc;Pre-control;inc_calc_controls.php;"Bar-adjusted Aim line break out bar relative to P6""";"depends on _c4preapALP6""";;
_llc4preapALAuxP6;calc;Pre-control;inc_calc_controls.php;Bar-adjusted Aim line break out bar relative to AuxP6;depends on _c4preapALAuxP6;;
_llc4preapALAuxP6';calc;Pre-control;inc_calc_controls.php;Bar-adjusted Aim line break out bar relative to AuxP6' ;depends on _c4preapALAuxP6';;
_lvlconf4ALP6;calc;Pre-control;inc_calc_controls.php;Level - ajusted [Aim line break out level - t4 level] / [P6 level -Aim line break out level];depends on _c4preapALP6 ;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

_lvlconf4ALP6 - the distance from the conf_t4 level (or p4, since they are equal) to the AL breakout level (hereinafter, this is the AL level in the middle of the breakout bar) is divided by the distance from the AL breakout level to the calculated P6 level.

The remaining parameters are calculated by analogy"
"_lvlconf4ALP6""";calc;Pre-control;inc_calc_controls.php;"Level- ajusted [Aim line break out level - t4 level] /  [P6"" level - Aim line break out level]";"depends on _c4preapALP6""";;
_lvlconf4ALAuxP6;calc;Pre-control;inc_calc_controls.php;Level - ajusted [Aim line break out level - t4 level] /  [AuxP6 level- Aim line break out level];depends on _c4preapALAuxP6;;
_lvlconf4ALAuxP6';calc;Pre-control;inc_calc_controls.php;Level - ajusted [Aim line break out level - t4 level] /  [AuxP6' level - Aim line break out level];depends on _c4preapALAuxP6';;
_llALapP6;calc;Pre-control;inc_calc_controls.php;Bar - ajusted [Approach bar -Aim line break out bar]/ [P6 node bar - conf_t4 bar];depends on _c4preapALP6 ;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

_llALapP6 - the distance in bars from the AL breakout bar to the bar that reached [APPROACH] is divided by the distance in bars from the conf_t4 bar to the node bar of P6.
If the AL breakout and the [APPROACH] level are reached on the same bar, the parameter is 0.

The remaining parameters are calculated by analogy"
"_llALapP6""";calc;Pre-control;inc_calc_controls.php;"Bar - ajusted [Approach bar -Aim line break out bar]/ [P6"" node bar - conf_t4 bar]";"depends on _c4preapALP6""";;
_llALapAuxP6;calc;Pre-control;inc_calc_controls.php;Bar - ajusted [Approach bar -Aim line break out bar]/ [AuxP6 node bar - conf_t4 bar];depends on _c4preapALAuxP6;;
_llALapAuxP6';calc;Pre-control;inc_calc_controls.php;Bar - ajusted [Approach bar -Aim line break out bar]/ [AuxP6' node bar - conf_t4 bar];depends on _c4preapALAuxP6';;
_lvlALapP6;calc;Pre-control;inc_calc_controls.php;Level - ajusted [Approach level -Aim line break out level]/[P6 node level - conf_t4 level];depends on _c4preapALP6 ;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

_lvlALapP6 - the distance from the AL breakout level to [APPROACH] is divided by the distance from the conf_t4 level (or t4, since they are equal) to the calculated P6 level

The remaining parameters are calculated by analogy"
"_lvlALapP6""";calc;Pre-control;inc_calc_controls.php;"Level - ajusted [Approach level -Aim line break out level]/[P6"" node level - conf_t4 level]";"depends on _c4preapALP6""";;
_lvlALapAuxP6;calc;Pre-control;inc_calc_controls.php;Level - ajusted [Approach level -Aim line break out level]/[AuxP6 node level - conf_t4 level];depends on _c4preapALAuxP6;;
_lvlALapAuxP6';calc;Pre-control;inc_calc_controls.php;Level - ajusted [Approach level -Aim line break out level]/[AuxP6' node level - conf_t4 level];depends on _c4preapALAuxP6';;
_llALP6;calc;Pre-control;inc_calc_controls.php;Bar - ajusted [P6 node bar - Aim line break out bar]/[P6 node bar - conf_t4 bar];depends on _c4preapALP6 ;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance in bars from the AL breakout bar to the P6 node bar is divided by the distance in bars from the conf_t4 bar to the P6 node bar.

The remaining parameters are calculated by analogy"
"_llALP6""";calc;Pre-control;inc_calc_controls.php;"Bar - ajusted [P6"" node bar  -Aim line break out bar]/[P6"" node bar - conf_t4 bar]";"depends on _c4preapALP6""";;
_llALAuxP6;calc;Pre-control;inc_calc_controls.php;Bar - ajusted [AuxP6 node bar  -Aim line break out bar]/[AuxP6 node bar - conf_t4 bar];depends on _c4preapALAuxP6;;
_llALAuxP6';calc;Pre-control;inc_calc_controls.php;Bar - ajusted [AuxP6' node bar  -Aim line break out bar]/[AuxP6' node bar - conf_t4 bar];depends on _c4preapALAuxP6';;
_lvlALP6;calc;Pre-control;inc_calc_controls.php;Level - ajusted [P6 node bar - Aim line break out level]/[P6 node level - conf_t4 level];depends on _c4preapALP6 ;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance in bar from AL breakout bar to the P6 node bar is divided by the distance in bars from the conf_t4 bar to the P6 node bar.

The remaining parameters are calculated by analogy"
"_lvlALP6""";calc;Pre-control;inc_calc_controls.php;"Level - ajusted [P6"" node bar - Aim line break out level]/[P6"" node level - conf_t4 level]";"depends on _c4preapALP6""";;
_lvlALAuxP6;calc;Pre-control;inc_calc_controls.php;"Level - ajusted [AuxP6"" - Aim line break out level]/[AuxP6 node level - conf_t4 level]";depends on _c4preapALAuxP6;;
_lvlALAuxP6';calc;Pre-control;inc_calc_controls.php;Level - ajusted [AuxP6' - Aim line break out level]/[AuxP6' node level - conf_t4 level];depends on _c4preapALAuxP6';;
_ALcorP6;flag;Pre-control;inc_calc_controls.php;Aim line breakout correlation for correction/hasten Potential Real P6;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if  _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).

The search for an extremum is performed on the section from the AL breakout bar (inclusive) to the bar reaching [APPROACH] (excluding)
If the AL breakout and [APPROACH] are reached on the same bar, the parameter is equal to 0.

If the extremum is not found, the parameter is equal to 0.

If 1 or more extremums are found (let's denote them as A), for each of the A, an oppositely directed extremum B is searched on the section after A (excluding ) to the bar reaching [APPROACH] (excluding).

Then, for each case, the distance between levels A and B is calculated. Of all the pairs, only the A whose distance to level B is greater than the others is left.

If the extremum B is not found for a specific extremum A, then this A is discarded.



If there are 1 or more A for which there is B, then
_ALcorP6 = 1

If there is not a single extremum A for which there is B, then
_ALcorP6 = 0

The remaining parameters are calculated by analogy"
"_ALcorP6""";flag;Pre-control;inc_calc_controls.php;"Aim line breakout correlation for correction/hasten Potential Real P6""";"depends on _c4preapALP6"" , _ALcorP6""";;
_ALcorAuxP6;flag;Pre-control;inc_calc_controls.php;Aim line breakout correlation for correction/hasten  Potential Real AuxP6;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_ALcorAuxP6';flag;Pre-control;inc_calc_controls.php;Aim line breakout correlation for correction/hasten  Potential Real AuxP6';depends on _c4preapALAuxP6', _ALcorAuxP6';;
_llALcorsizeP6;calc;Pre-control;inc_calc_controls.php;Timesize of correction/hasten Potential Real P6;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if a. and b. are fullfilled:
a. _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).
b. _ALcorP6 = 1 (or another similar parameter corresponding to the model under consideration).

the distance in bars between A and B extremums (from _ALcorP6 parameter)  is divided by the distance in bars from conf_t4 to the bar of P6 node

The remaining parameters are calculated by analogy"
"_llALcorsizeP6""";calc;Pre-control;inc_calc_controls.php;"Timesize of correction/hasten Potential Real P6""";"depends on _c4preapALP6"" , _ALcorP6""";;
_llALcorsizeAuxP6;calc;Pre-control;inc_calc_controls.php;Timesize of correction/hasten Potential Real AuxP6;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_llALcorsizeAuxP6';calc;Pre-control;inc_calc_controls.php;Timesize of correction/hasten Potential Real AuxP6';depends on _c4preapALAuxP6', _ALcorAuxP6';;
_lvlALcorsizeP6;calc;Pre-control;inc_calc_controls.php;Pricesize of correction/hasten Potential Real P6;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if a. and b. are fullfilled:
a. _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).
b. _ALcorP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance between levels A and B is divided by the distance between levels conf_t4 (=level t4) and the calculated P6.

The remaining parameters are calculated by analogy"
"_lvlALcorsizeP6""";calc;Pre-control;inc_calc_controls.php;"Pricesize of correction/hasten Potential Real P6""";"depends on _c4preapALP6"" , _ALcorP6""";;
_lvlALcorsizeAuxP6;calc;Pre-control;inc_calc_controls.php;Pricesize of correction/hasten Potential Real AuxP6;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_lvlALcorsizeAuxP6';calc;Pre-control;inc_calc_controls.php;Pricesize of correction/hasten Potential Real AuxP6';depends on _c4preapALAuxP6', _ALcorAuxP6';;
_llALcordistP6;calc;Pre-control;inc_calc_controls.php;Bar-adjusted Time distance from start of correction/hasten Potential Real P6;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if a. and b. are fullfilled:
a. _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).
b. _ALcorP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance in bars between A and the bar of  the P6 node is divided by the distance in bars from conf_t4 to the bar of calculate P6

The remaining parameters are calculated by analogy"
"_llALcordistP6""";calc;Pre-control;inc_calc_controls.php;"Bar-adjusted Time distance from start of correction/hasten Potential Real P6""";"depends on _c4preapALP6"" , _ALcorP6""";;
_llALcordistAuxP6;calc;Pre-control;inc_calc_controls.php;Bar-adjusted Time distance from start of correction/hasten Potential Real AuxP6;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_llALcordistAuxP6';calc;Pre-control;inc_calc_controls.php;Bar-adjusted Time distance from start of correction/hasten Potential Real AuxP6';depends on _c4preapALAuxP6', _ALcorAuxP6';;
_lvlALcordistP6;calc;Pre-control;inc_calc_controls.php;Level - adjusted Price distance from start of correction/hasten Potential Real P6;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if a. and b. are fullfilled:
a. _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).
b. _ALcorP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance between levels A and the calculated p.6 is divided by the distance between levels conf_t4 and the calculated P6

The remaining parameters are calculated by analogy"
"_lvlALcordistP6""";calc;Pre-control;inc_calc_controls.php;"Level - adjusted  Price distance from start of correction/hasten Potential Real P6""";"depends on _c4preapALP6"" , _ALcorP6""";;
_lvlALcordistAuxP6;calc;Pre-control;inc_calc_controls.php;Level - adjusted  Price distance from start of correction/hasten Potential Real AuxP6;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_lvlALcordistAuxP6';calc;Pre-control;inc_calc_controls.php;Level - adjusted  Price distance from start of correction/hasten Potential Real AuxP6';depends on _c4preapALAuxP6', _ALcorAuxP6';;
_llALcorposP6;calc;Pre-control;inc_calc_controls.php;Bar-adjusted [P6 node -  Start time of correction/hasten Potential Real P6]/Timesize ;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if a. and b. are fullfilled:
a. _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).
b. _ALcorP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance in bars between A and the P6 node bar is divided by the size of the model in bars

The remaining parameters are calculated by analogy"
"_llALcorposP6""";calc;Pre-control;inc_calc_controls.php;"Bar-adjusted [P6"" node - Start time of correction/hasten Potential Real P6""]/Timesize";"depends on _c4preapALP6"" , _ALcorP6""";;
_llALcorposAuxP6;calc;Pre-control;inc_calc_controls.php;Bar-adjusted [AuxP6 node -Start time of correction/hasten Potential Real AuxP6]/Timesize;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_llALcorposAuxP6';calc;Pre-control;inc_calc_controls.php;Bar-adjusted [AuxP6' node - Start time of correction/hasten Potential Real AuxP6']/Timesize;depends on _c4preapALAuxP6', _ALcorAuxP6';;
_lvlALcorposP6;calc;Pre-control;inc_calc_controls.php;Level-adjusted [P6 node -  Start level of correction/hasten Potential Real P6]/Pricesize ;depends on _c4preapALP6 , _ALcorP6;;"Parameter is calculated if a. and b. are fullfilled:
a. _c4preapALP6 = 1 (or another similar parameter corresponding to the model under consideration).
b. _ALcorP6 = 1 (or another similar parameter corresponding to the model under consideration).

The distance between level A and the calculated P6 is divided by the size of the model by levels

The remaining parameters are calculated by analogy"
"_lvlALcorposP6""";calc;Pre-control;inc_calc_controls.php;"Level-adjusted [P6"" node - Start level of correction/hasten Potential Real P6""]/Pricesize";"depends on _c4preapALP6"" , _ALcorP6""";;
_lvlALcorposAuxP6;calc;Pre-control;inc_calc_controls.php;Level-adjusted [AuxP6 node -Start level of correction/hasten Potential Real AuxP6]/Pricesize;depends on _c4preapALAuxP6 , _ALcorAuxP6;;
_lvlALcorposAuxP6';calc;Pre-control;inc_calc_controls.php;Level-adjusted [AuxP6' node - Start level of correction/hasten Potential Real AuxP6']/Pricesize;depends on _c4preapALAuxP6', _ALcorAuxP6';;
;;;;;;;
_P6proto;flag;Pre-control;inc_calc_controls.php;Proto P6 indicator;"depends on _lvlapprP6 and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;"If the _lvlapprP6 parameter is calculated and the value is different from 0 (i.e. after reaching the Extended Approach Level of the calculated P6 [LVL_PREAPPROACH] before reaching the Approach Level[APPROACH]  there is a price correction), the following calculations are performed:
A search is performed for a bar containing the maximum correction in the section after (i.e. not including) the bar that reached LVL_PREAPPROACH to  the bar before that reached [APPROACH] (i.e. not including). Let's call this extremum Prelead - extremum.

If Prelead extremum is found, a search is performed for the maximum (closest to P6 by level) extremum in the section from the bar (inclusive) that reached LVL_PREAPPPROACH before the bar containing the Prelead extremum (not including). Let's designate this extremum as Proto-6.

If such an extremum is found, then the parameter
_P6proto = 1, otherwise
_P6proto = 0

The remaining parameters are calculated by analogy"
"_P6""proto";calc;Pre-control;inc_calc_controls.php;"Proto P6"" indicator";"depends on _lvlapprP6"" and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_AuxP6proto;calc;Pre-control;inc_calc_controls.php;Proto AuxP6 indicator;"depends on _lvlapprAuxP6 and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_AuxP6'proto;calc;Pre-control;inc_calc_controls.php;Proto AuxP6' indicator;"depends on _lvlapprAuxP6' and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_llprotosizeP6;calc;Pre-control;inc_calc_controls.php;Relative duration of Proto-P6 to Timesize. ;"depends on _lvlapprP6, _P6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;"The distance in bars between the Proto-P6 and Prelead-extremum bars is calculated. Let's designate this value as A. The value A/B is calculated, where B is the size of the considered Attraction Model in bars.
Depending on the type of the considered Attraction Model (i.e. depending on the type of the calculated p.6 of the considered model), the obtained value A/B is the value of one of the parameter _llprotosizeP6. 

The remaining parameters are calculated by analogy"
"_llprotosizeP6""";calc;Pre-control;inc_calc_controls.php;Relative duration of Proto-P6' to Timesize. ;"depends on _lvlapprP6"", _P6""proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_llprotosizeAuxP6;calc;Pre-control;inc_calc_controls.php;Relative duration of Proto-AuxP6 to Timesize. ;"depends on _lvlapprAuxP6, _AuxP6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_llprotosizeAuxP6';calc;Pre-control;inc_calc_controls.php;Relative duration of Proto-AuxP6' to Timesize. ;"depends on _lvlapprAuxP6', _AuxP6'proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_lvlprotosizeP6;calc;Pre-control;inc_calc_controls.php;Relative depth of proto-P6  development to Pricesize;"depends on _lvlapprP6, _P6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";Float;The difference between the proto-P6 and Prelead-extremum levels is divided by Pricesize
"_lvlprotosizeP6""";calc;Pre-control;inc_calc_controls.php;"Level prototype size for P6""";"depends on _lvlapprP6"", _P6""proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";Float;"the difference between the proto-P6"" and Prelead-extremum levels is divided by Pricesize"
_lvlprotosizeAuxP6;calc;Pre-control;inc_calc_controls.php;Level prototype size for AuxP6;"depends on _lvlapprAuxP6, _AuxP6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";Float;the difference between the Aux proto-AuxP6 and Prelead-extremum levels is divided by Pricesize
_lvlprotosizeAuxP6';calc;Pre-control;inc_calc_controls.php;Level prototype size for AuxP6';"depends on _lvlapprAuxP6', _AuxP6'proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";Float;the difference between the Aux proto-6' and Prelead-extremum levels is divided by Pricesize
_llprotoposP6;calc;Pre-control;inc_calc_controls.php;Relative position of proto-P6 to Timesize;"depends on _lvlapprP6, _P6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;"The distance in bars between proto-P6 and the node of the calculated P6 is calculated. Let's designate this value as A1. Calculate A1/Timesize. This is value of parmeter _llprotoposP6.

The remaining parameters are calculated by analogy.

These parameters can have both negative and positive values. They will be positive if the proto-P6 bar lies before the bar of the node of the calculated P6.
If the proto-P6 bar lies after the bar of the node of the calculated P6, these parameters will have a negative value."
"_llprotoposP6""";calc;Pre-control;inc_calc_controls.php;"Relative position of proto-P6"" to Timesize";;;"depends on _lvlapprP6"", _P6""proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond"
_llprotoposAuxP6;calc;Pre-control;inc_calc_controls.php;Relative position of proto-AuxP6 to Timesize;;;"depends on _lvlapprAuxP6, _AuxP6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond"
_llprotoposAuxP6';calc;Pre-control;inc_calc_controls.php;Relative position of proto-AuxP6' to Timesize;;;"depends on _lvlapprAuxP6', _AuxP6'proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond"
_lvlprotoposP6;calc;Pre-control;inc_calc_controls.php;"Relative position of proto-P6"" to Pricesize";"depends on _lvlapprP6, _P6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;"We calculate the difference between the level of proto-P6 and the level of the calculated P6 . We designate this value as X1. We calculate X1/Y. 

The remaining parameters are calculated by analogy."
"_lvlprotoposP6""";calc;Pre-control;inc_calc_controls.php;Relative position of proto-P6 to Pricesize;"depends on _lvlapprP6"", _P6""proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_lvlprotoposAuxP6;calc;Pre-control;inc_calc_controls.php;Relative position of proto-AuxP6 to Pricesize;"depends on _lvlapprAuxP6, _AuxP6proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
_lvlprotoposAuxP6';calc;Pre-control;inc_calc_controls.php;Relative position of proto-AuxP6' to Pricesize;"depends on _lvlapprAuxP6', _AuxP6'proto and
according to rules: 
conf_preap_lvlrule
app_lvlcond
preap_app_llcond";;
;;;;;;;
// Post-control Parameters;;;;;;;
pst_llRP6pos;calc;Post-control;inc_calc_controls.php;Relative position of the Real P6 to Timesize;;;"The time distance between the bar of the real P6 and the node of the calculated P6 is calculated. The resulting value is denoted by A.  Calculate A/Timesize

Parameter can have both negative and positive values. 
It will be positive if the Real P6 bar lies in before the bar of the calculated P6 node.
If the Real P6 bar lies after the bar of the calculated P6 node, this parameter will have a negative value."
"pst_llRP6""pos";calc;Post-control;inc_calc_controls.php;"Relative position of the Real P6"" to Timesize";;;
pst_llRAuxP6pos;calc;Post-control;inc_calc_controls.php;Relative position of the Real AuxP6 to Timesize;;;
pst_llRAuxP6'pos;calc;Post-control;inc_calc_controls.php;Relative position of the Real AuxP6' to Timesize;;;
pst_conf_RP6;calc;Post-control;inc_calc_controls.php;Relative duration of reaching the real P6 from the moment the considered model is formed;;;"
The distance in bars between the confirmation bar t4 (conf_t4) and the Real P6 (RP6) bar divided by Timesize. 
"
"pst_conf_RP6""";calc;Post-control;inc_calc_controls.php;"Relative duration of reaching the real P6"" from the moment the considered model is formed";;;
pst_conf_RAuxP6;calc;Post-control;inc_calc_controls.php;Realative duration of reaching the real AuxP6 from the moment the considered model is formed;;;
pst_conf_RAuxP6';calc;Post-control;inc_calc_controls.php;Relative duration of reaching the real AuxP6' from the moment the considered model is formed;;;
pst_apprP6bmp;calc;Post-control;inc_calc_controls.php;;;;Distance in bars is calculated between the bar reaching the P6 Approach Level) and the bar reaching the P6 Bumper Level. The resulting value is then divided by Timesize
"pst_apprP6""bmp";calc;Post-control;inc_calc_controls.php;;;;"Distance in bars is calculated between the bar reaching the P6"" Approach Level) and the bar reaching the P6 Bumper Level. The resulting value is then divided by Timesize"
pst_apprAuxP6bmp;calc;Post-control;inc_calc_controls.php;;;;Distance in bars is calculated between the bar reaching the P6 Approach Level) and the bar reaching the AuxP6 Bumper Level. The resulting value is then divided by Timesize
pst_apprAuxP6'bmp;calc;Post-control;inc_calc_controls.php;;;;Distance in bars is calculated between the bar reaching the P6 Approach Level) and the bar reaching the AuxP6' Bumper Level. The resulting value is then divided by Timesize
pst_P6bmp;calc;Post-control;inc_calc_controls.php;;;;"This parameter is calculated for models that have recorded the achievement of the P6 level (i.e., to calculate this parameter, the P6 level of the considered  model must exist and must be reached). 
The distance in bars between the P6 bar and the bar that reached bumper level of P6  is calculated. The resulting value is divided by the size of the model in bars. "
"pst_P6""bmp";calc;Post-control;inc_calc_controls.php;;;;"This parameter is calculated for models that have recorded the achievement of the P6"" level (i.e., to calculate this parameter, the P6 "" level of the considered  model  must must exist and must be reached). 
The distance in bars between the P6"" Knot  bar and the bar that reached bumper level of P6""  is calculated. The resulting value is divided by the size of the model in bars. "
pst_AuxP6bmp;calc;Post-control;inc_calc_controls.php;;;;"This parameter is calculated for models that have recorded the achievement of the AuxP6 level (i.e., to calculate this parameter, the AuxP6 level of the considered  model  must exist and must be reached). 
The distance in bars between the AuxP6 bar and the bar that reached bumper level for AuxP6  is calculated. The resulting value is divided by the size of the model in bars. "
pst_AuxP6'bmp;calc;Post-control;inc_calc_controls.php;;;;"This parameter is calculated for models that have recorded the achievement of the AuxP6"" level (i.e., to calculate this parameter, the AuxP6"" level of the considered  model  must exist and must be reached). 
The distance in bars between the AuxP6"" bar and the bar that reached bumper level for AuxP6""  is calculated. The resulting value is divided by the size of the model in bars. "
pst_P4_P6bmp;calc;Post-control;inc_calc_controls.php;;;;"Parameter pst_P4_P6bmp is calculated if there is a P6 (when the bumper level reaches for P6). 
The distance in bars between the p.4 bar and the bar that achieved P6 bumper level is calculated. ? The resulting value is divided by the size of the model in bars (according to P6).

The remaining parameters are calculated by analogy"
"pst_P4_P6""bmp";calc;Post-control;inc_calc_controls.php;;;;
pst_P4_AuxP6bmp;calc;Post-control;inc_calc_controls.php;;;;
pst_P4_AuxP6'bmp;calc;Post-control;inc_calc_controls.php;;;;
pstex_conf_RP6;calc;Post-control;inc_calc_controls.php;Number of extremes (including significant and non-significant ones) in the area from conf_t4 to RP6;;;"The extremes are being searched for between the bar that confirmed the level of p4 (conf_t4) and the bar of the Real P6 of AM (in this case RP6).
Moreover, on the bar confirming p4 (conf_t4)
, the extremum aligned with p3 of the model is not taken into account.
-the extreme, counter-directional p3 of the model is taken into account
On the bar of the real P6 of AM (RP6), extremes are not taken into account. 
The value of the pstex _conf_RP6 parameter is equal to the number of extremes found.

The remaining parameters are calculated by analogy"
"pstex_conf_RP6""";calc;Post-control;inc_calc_controls.php;;;;
pstex_conf_RAuxP6;calc;Post-control;inc_calc_controls.php;;;;
pstex_conf_RAuxP6';calc;Post-control;inc_calc_controls.php;;;;
;;;;;;;
// Post-control Parameters (Lead);;;;;;;"Among the extremes found as part of the calculation of the pstex_conf_RP6 parameter, a search is carried out for extremes that are aligned with t3 of the model under consideration. Let's call the collection of such extrema a U-set. 
Then, for each of these extremes, in the section 
[from the confirmation bar for t4 (conf_t4) (inclusive) to the extremum bar in question (not including)],
another extremum is searched that satisfies the following conditions: 
-opposite in direction to the extremum under consideration;
-as far as possible (in terms of level) from the level of the extremum under consideration. 
The extremum satisfying the conditions is called ""F"" for convenience. 
Next, the distance in pips between the extremum under consideration [from the set U] and its paired extremum F is calculated. The resulting value is called ""R"" for convenience. 
The extremum of the set U, which has the largest value R, is the Lead-extremum. It is used to calculate the following parameters: "
pst_lead_RP6;calc;Post-control;inc_calc_controls.php;The relative duration of reaching the real P6 after the Lead-extremum to Timesize  ;;;"pst_lead_RP6 is the ratio of the distances from the Lead?extremum bar to RP6 to the Timesize.
This parameter is present only for models that have a significant extreme in the range from conf_t4 to RP6."
"pst_lead_RP6""";calc;Post-control;inc_calc_controls.php;"The relative duration of reaching the real P6"" after the Lead-extremum to Timesize  ";;;
pst_lead_RAuxP6;calc;Post-control;inc_calc_controls.php;The relative duration of reaching the real AuxP6 after the Lead-extremum to Timesize  ;;;
pst_lead_RAuxP6';calc;Post-control;inc_calc_controls.php;The relative duration of reaching the real AuxP6' after the Lead-extremum  to Timesize  ;;;
pst_leadsize_RP6;calc;Post-control;inc_calc_controls.php;The relative depth of the Lead-extremum for RP6 to Levelsize;;;"pst_leadsize_RP6 is the ratio of the magnitude of the R lead extremum to the size of the model by levels . 
The rollback depth on the way to the 6th (according to the real 6th)
This parameter is present only for models that have a significant extreme in the section from conf_t4 to RP6."
"pst_leadsize_RP6""";calc;Post-control;inc_calc_controls.php;"The relative depth of the Lead-extremum for RP6"" to Levelsize";;;
pst_leadsize_RAuxP6;calc;Post-control;inc_calc_controls.php;The relative depth of the Lead-extremum for RAuxP6 to Levelsize;;;
pst_leadsize_RAuxP6';calc;Post-control;inc_calc_controls.php;The relative depth of the Lead-extremum for RAuxP6' to Levelsize;;;
;;;;;;;
// Post-control Parameters (After RP6);;;;;;;
pstex_RP6bmp;calc;Post-control;inc_calc_controls.php;Number of extremes (including significant and non-significant ones) in the area from conf_t4 to the bar that reached the Bumper Level;;;"The extremes are being searched for between the RP6 bar (not including) and the bar that has reached the Bumper Level. 

The extreme at the bar that has reached the bumper level is not taken into account.

The value of the parameter is equal to the number of extremes found.

The remaining parameters are calculated by analogy"
"pstex_RP6""bmp";calc;Post-control;inc_calc_controls.php;;;;
pstex_RAuxP6bmp;calc;Post-control;inc_calc_controls.php;;;;
